1,Introduction to Algebra,Dr. Paul Mensah,1,-1,
2,Advanced Physics Vol.1,Prof. James Osei,0,7,2025-04-08
3,English Grammar in Use,Raymond Murphy,1,-1,
4,Biology: Life Sciences,Dr. Fatima Noor,0,10,2025-04-09
5,World History Condensed,Mr. David Mensah,1,-1,
6,Calculus Made Easy,Silvanus Thompson,0,13,2025-04-10
7,The Great Gatsby,F. Scott Fitzgerald,1,-1,
8,Things Fall Apart,Chinua Achebe,1,-1,
9,Chemistry Fundamentals,Dr. Ama Sarpong,0,8,2025-04-07
10,Computer Science Basics,Prof. Kojo Antwi,1,-1,
11,Statistics for Schools,Dr. Yaw Boateng,1,-1,
12,Geography of Africa,Mr. Kwesi Asante,0,14,2025-04-11
13,Introduction to Economics,Prof. Efua Darko,1,-1,
14,Art and Design Principles,Ms. Adwoa Tetteh,1,-1,
15,Physical Education Guide,Mr. Nii Adjei,1,-1,
